 ID,Name / Nom,Latitude,Longitude,Prov/Terr,Timezone / Fuseau horaire
01AD003,"ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE",47.206940,-68.956950,NB,UTC-04:00
01AD004,"SAINT JOHN RIVER AT EDMUNDSTON",47.361110,-68.327220,NB,UTC-04:00
01AF002,"SAINT JOHN RIVER AT GRAND FALLS",47.040000,-67.741670,NB,UTC-04:00
01AF007,"GRANDE RIVIERE AT VIOLETTE BRIDGE",47.246110,-67.921110,NB,UTC-04:00
01AF009,"IROQUOIS RIVER AT MOULIN MORNEAULT",47.457780,-68.357780,NB,UTC-04:00
01AG003,"AROOSTOOK RIVER NEAR TINKER",46.814450,-67.754450,NB,UTC-04:00
01AH002,"TOBIQUE RIVER AT RILEY BROOK",47.173330,-67.210000,NB,UTC-04:00
01AJ003,"MEDUXNEKEAG RIVER NEAR BELLEVILLE",46.216110,-67.728330,NB,UTC-04:00
01AJ004,"BIG PRESQUE ISLE STREAM AT TRACEY MILLS",46.437780,-67.744720,NB,UTC-04:00
01AJ010,"BECAGUIMEC STREAM AT COLDSTREAM",46.340830,-67.466110,NB,UTC-04:00
01AK001,"SHOGOMOC STREAM NEAR TRANS CANADA HIGHWAY",45.945000,-67.322220,NB,UTC-04:00
01AK003,"SAINT JOHN RIVER AT FREDERICTON",45.965000,-66.645000,NB,UTC-04:00
01AK006,"MIDDLE BRANCH NASHWAAKSIS STREAM AT SANDWITH'S FARM",46.082780,-66.734440,NB,UTC-04:00
01AK007,"NACKAWIC STREAM NEAR TEMPERANCE VALE",46.049170,-67.240280,NB,UTC-04:00
01AL002,"NASHWAAK RIVER AT DURHAM BRIDGE",46.125830,-66.612220,NB,UTC-04:00
01AL004,"NARROWS MOUNTAIN BROOK NEAR NARROWS MOUNTAIN",46.276670,-67.021390,NB,UTC-04:00
01AM001,"NORTH BRANCH OROMOCTO RIVER AT TRACY",45.673610,-66.682780,NB,UTC-04:00
01AN002,"SALMON RIVER AT CASTAWAY",46.291110,-65.723340,NB,UTC-04:00
01AO002,"SAINT JOHN RIVER AT MAUGERVILLE",45.866110,-66.461110,NB,UTC-04:00
